date	number_of_smells
1930/01/01	1
1930/01/01	1
1930/01/01	1
1930/01/01	1
1930/01/01	2
1930/01/01	4
1931/01/01	3
1931/01/01	4
1931/01/01	1
1931/01/01	3
1931/01/01	1
1931/01/01	1
1931/01/01	2
1931/01/01	4
1931/01/01	6
1931/01/01	1
1932/01/01	3
1932/01/01	9
1932/01/01	3
1932/01/01	4
1932/01/01	1
1932/01/01	3
1932/01/01	5
1932/01/01	2
1932/01/01	1
1932/01/01	3
1933/01/01	3
1933/01/01	1
1933/01/01	1
1933/01/01	3
1933/01/01	2
1933/01/01	1
1933/01/01	2
1933/01/01	3
1933/01/01	1
1933/01/01	1
1933/01/01	7
1933/01/01	4
1933/01/01	1
1933/01/01	1
1933/01/01	1
1934/01/01	2
1934/01/01	1
1934/01/01	5
1934/01/01	3
1934/01/01	1
1934/01/01	3
1934/01/01	6
1934/01/01	3
1934/01/01	6
1934/01/01	7
1934/01/01	1
1934/01/01	3
1935/01/01	1
1935/01/01	3
1935/01/01	1
1935/01/01	2
1935/01/01	1
1935/01/01	1
1935/01/01	1
1935/01/01	4
1935/01/01	1
1935/01/01	4
1935/01/01	2
1935/01/01	1
1935/01/01	3
1935/01/01	4
1935/01/01	3
1935/01/01	1
1935/01/01	6
1935/01/01	2
1935/01/01	1
1936/01/01	3
1936/01/01	1
1936/01/01	1
1936/01/01	1
1936/01/01	1
1936/01/01	2
1936/01/01	2
1936/01/01	3
1936/01/01	1
1936/01/01	1
1936/01/01	1
1936/01/01	2
1936/01/01	8
1936/01/01	3
1936/01/01	1
1937/01/01	3
1937/01/01	1
1937/01/01	5
1937/01/01	4
1937/01/01	1
1937/01/01	1
1937/01/01	1
1937/01/01	1
1937/01/01	1
1937/01/01	3
1937/01/01	2
1937/01/01	3
1937/01/01	5
1937/01/01	2
1937/01/01	4
1937/01/01	1
1937/01/01	1
1938/01/01	5
1938/01/01	1
1938/01/01	1
1938/01/01	1
1938/01/01	2
1938/01/01	1
1938/01/01	4
1938/01/01	1
1938/01/01	1
1938/01/01	3
1938/01/01	2
1938/01/01	3
1938/01/01	6
1938/01/01	1
1938/01/01	2
1938/01/01	1
1938/01/01	3
1938/01/01	5
1938/01/01	4
1938/01/01	2
1939/01/01	1
1939/01/01	2
1939/01/01	3
